ID	CID	YEAR	CA	RADDIST	ANGLE	XCAL	YCAL	XPIX	YPIX	RADDISTR	RRADDISTR	CWTALL
LOT_PICEA	31	2007	1252	108990	180.778	-1481	108980	722	5286	18	2.9	3.01
LOT_PICEA	32	2007	1136	108988	180.757	-1440	108979	817	5283	22	3.51	2.76
LOT_PICEA	34	2007	1139	108988	180.737	-1402	108979	908	5284	17	2.72	2.04
LOT_PICEA	40	2007	1320	109008	180.717	-1365	109000	994	5332	27	4.34	2.69
LOT_PICEA	45	2007	1688	109014	180.692	-1317	109006	1107	5347	26	4.17	2.36
LOT_PICEA	50	2007	340	109013	180.677	-1288	109005	1174	5345	18	2.89	2.21
LOT_PICEA	53	2007	553	109015	180.666	-1268	109007	1221	5350	15	2.38	2.47
LOT_PICEA	56	2007	1321	109028	180.651	-1238	109021	1290	5381	19	3.03	2.51
LOT_PICEA	57	2007	1300	109029	180.738	-1404	109020	903	5379	58	9.29	2.59
LOT_PICEA	59	2007	1016	109028	180.758	-1442	109019	813	5377	62	9.89	2.86
LOT_PICEA	61	2007	1720	109039	180.778	-1481	109029	721	5399	66	10.65	2.92
LOT_PICEA	65	2007	1483	109038	180.629	-1197	109032	1386	5407	21	3.36	2.3
LOT_PICEA	67	2007	543	109037	180.613	-1166	109030	1460	5404	18	2.82	2.56
LOT_PICEA	72	2007	1326	109057	180.717	-1365	109049	993	5446	75	12.06	2.45
LOT_PICEA	74	2007	383	109050	180.678	-1290	109043	1170	5432	55	8.83	2.34
LOT_PICEA	75	2007	699	109055	180.667	-1269	109047	1218	5443	55	8.74	2.43
LOT_PICEA	82	2007	1800	109069	180.693	-1319	109061	1100	5476	81	13	2.64
LOT_PICEA	83	2007	1657	109070	180.599	-1139	109064	1522	5483	28	4.44	2.4
LOT_PICEA	84	2007	1416	109073	180.58	-1104	109068	1605	5491	27	4.17	2.45
LOT_PICEA	85	2007	1363	109072	180.758	-1442	109063	813	5479	106	16.91	2.94
LOT_PICEA	86	2007	1449	109076	180.736	-1402	109067	907	5489	105	16.81	2.52
LOT_PICEA	88	2007	1251	109073	180.652	-1241	109066	1284	5487	65	10.36	2.63
LOT_PICEA	90	2007	557	109068	180.564	-1074	109063	1675	5480	16	2.47	2.22
LOT_PICEA	95	2007	1453	109083	180.63	-1200	109076	1380	5510	65	10.42	2.55
LOT_PICEA	98	2007	547	109086	180.613	-1168	109079	1455	5518	67	10.5	2.58
LOT_PICEA	99	2007	1337	109089	180.778	-1482	109079	720	5519	117	18.87	2.74
LOT_PICEA	103	2007	597	109093	180.679	-1292	109085	1165	5531	98	15.75	2.35
LOT_PICEA	107	2007	1103	109097	180.545	-1039	109092	1758	5549	24	3.79	2.81
LOT_PICEA	108	2007	635	109096	180.667	-1269	109089	1218	5541	97	15.41	2.39
LOT_PICEA	110	2007	1087	109103	180.717	-1365	109094	993	5554	121	19.45	2.93
LOT_PICEA	111	2007	947	109102	180.53	-1010	109098	1826	5562	26	4.09	2.7
LOT_PICEA	113	2007	279	109099	180.519	-988	109094	1876	5554	22	3.41	3.19
LOT_PICEA	116	2007	1671	109113	180.506	-964	109109	1934	5588	27	4.19	2.8
LOT_PICEA	117	2007	516	109101	180.566	-1077	109095	1668	5556	47	7.28	2.45
LOT_PICEA	119	2007	83	109099	180.642	-1222	109092	1328	5548	85	13.6	2.81
LOT_PICEA	122	2007	1053	109114	180.757	-1442	109104	813	5577	147	23.46	2.73
LOT_PICEA	123	2007	697	109111	180.487	-928	109107	2016	5583	17	2.64	2.78
LOT_PICEA	124	2007	1463	109126	180.736	-1402	109117	906	5606	155	24.82	2.68
LOT_PICEA	126	2007	761	109114	180.651	-1241	109107	1285	5583	106	16.91	2.61
LOT_PICEA	127	2007	1358	109121	180.6	-1143	109115	1514	5603	80	12.69	2.58
LOT_PICEA	130	2007	1570	109130	180.693	-1321	109122	1097	5619	142	22.8	2.87
LOT_PICEA	131	2007	980	109122	180.581	-1107	109116	1598	5605	77	11.91	2.65
LOT_PICEA	133	2007	569	109122	180.475	-904	109118	2073	5608	23	3.57	3.1
LOT_PICEA	135	2007	1286	109130	180.632	-1204	109123	1370	5621	113	18.12	2.57
LOT_PICEA	136	2007	1518	109136	180.779	-1483	109126	717	5628	163	26.29	2.91
LOT_PICEA	137	2007	913	109135	180.616	-1173	109129	1443	5635	116	18.27	2.45
LOT_PICEA	141	2007	471	109127	180.465	-885	109123	2117	5621	18	2.75	2.55
LOT_PICEA	144	2007	471	109132	180.678	-1292	109125	1164	5624	137	22.01	2.58
LOT_PICEA	147	2007	719	109140	180.668	-1272	109133	1211	5643	141	22.42	2.65
LOT_PICEA	148	2007	506	109130	180.566	-1078	109125	1667	5626	77	11.93	2.41
LOT_PICEA	151	2007	1016	109146	180.717	-1367	109138	990	5655	164	26.37	2.59
LOT_PICEA	153	2007	938	109144	180.547	-1043	109139	1749	5658	72	11.36	2.68
LOT_PICEA	155	2007	361	109144	180.52	-991	109140	1869	5660	67	10.43	3.13
LOT_PICEA	158	2007	807	109145	180.653	-1244	109138	1278	5656	138	21.99	2.67
LOT_PICEA	159	2007	1436	109155	180.756	-1441	109146	816	5674	189	30.16	2.93
LOT_PICEA	160	2007	1010	109153	180.532	-1014	109148	1816	5680	76	11.97	2.73
LOT_PICEA	161	2007	807	109149	180.489	-932	109145	2007	5672	56	8.66	2.52
LOT_PICEA	163	2007	263	109146	180.457	-870	109143	2153	5667	24	3.73	2.52
LOT_PICEA	167	2007	1592	109159	180.443	-844	109156	2215	5697	27	4.19	2.63
LOT_PICEA	173	2007	1241	109164	180.423	-805	109161	2305	5710	24	3.71	2.98
LOT_PICEA	175	2007	1740	109170	180.507	-966	109166	1929	5721	84	13.04	2.68
LOT_PICEA	176	2007	1051	109163	180.582	-1110	109158	1592	5702	119	18.43	2.5
LOT_PICEA	178	2007	1351	109170	180.601	-1146	109164	1507	5716	130	20.6	2.57
